,score,name,rank,country,district
0,100,Harvard University,1,United States,"Cambridge, MA"
1,98.4,Massachusetts Institute of Technology,2,United States,"Cambridge, MA"
2,94.9,Stanford University,3,United States,"Stanford, CA"
3,90.3,University of California--Berkeley,4,United States,"Berkeley, CA"
4,87.2,University of Oxford,5,United Kingdom,Oxford
5,87.1,California Institute of Technology,6,United States,"Pasadena, CA"
6,86.5,Columbia University,7,United States,"New York, NY"
7,85.6,Princeton University,8,United States,"Princeton, NJ"
8,85.5,University of Cambridge,9,United Kingdom,Cambridge
9,85.3,University of Washington,10,United States,"Seattle, WA"
10,100,Harvard University,1,United States,"Cambridge, MA"
11,98.4,Massachusetts Institute of Technology,2,United States,"Cambridge, MA"
12,94.9,Stanford University,3,United States,"Stanford, CA"
13,90.3,University of California--Berkeley,4,United States,"Berkeley, CA"
14,87.2,University of Oxford,5,United Kingdom,Oxford
15,87.1,California Institute of Technology,6,United States,"Pasadena, CA"
16,86.5,Columbia University,7,United States,"New York, NY"
17,85.6,Princeton University,8,United States,"Princeton, NJ"
18,85.5,University of Cambridge,9,United Kingdom,Cambridge
19,85.3,University of Washington,10,United States,"Seattle, WA"
20,84.8,Johns Hopkins University,11,United States,"Baltimore, MD"
21,84.4,Yale University,12,United States,"New Haven, CT"
22,84.2,University of Chicago,13,United States,"Chicago, IL"
23,84.1,University of California--Los Angeles,14,United States,"Los Angeles, CA"
24,83.5,University of California--San Francisco,15,United States,"San Francisco, CA"
25,83.4,University of Pennsylvania,16,United States,"Philadelphia, PA"
26,83.3,University of Michigan--Ann Arbor,17,United States,"Ann Arbor, MI"
27,83.1,University of Toronto,18,Canada,"Toronto, Ontario"
28,82.8,University of California--San Diego,19,United States,"La Jolla, CA"
29,82.7,Imperial College London,20,United Kingdom,London
30,82.4,University College London,21,United Kingdom,London
31,81.6,Duke University,22,United States,"Durham, NC"
32,81.3,Cornell University,23,United States,"Ithaca, NY"
33,79.9,Northwestern University,24,United States,"Evanston, IL"
34,79.4,Swiss Federal Institute of Technology Zurich,25,Switzerland,Zurich
35,78.8,University of Melbourne,26,Australia,"Parkville, Victoria"
36,78,University of Sydney,27,Australia,"Sydney, New South Wales"
37,77.8,New York University,28,United States,"New York, NY"
38,77.8,University of Edinburgh,28,United Kingdom,"Edinburgh, Scotland"
39,77.6,University of British Columbia,30,Canada,"Vancouver, British Columbia"
40,76.9,Washington University in St. Louis,31,United States,"St. Louis, MO"
41,76.7,University of Copenhagen,32,Denmark,Copenhagen
42,76.6,University of North Carolina--Chapel Hill,33,United States,"Chapel Hill, NC"
43,76.5,National University of Singapore,34,Singapore,
44,76.5,University of Texas--Austin,34,United States,"Austin, TX"
45,76.1,Tsinghua University,36,China,Beijing
46,76,King's College London,37,United Kingdom,London
47,76,Sorbonne Universite,37,France,Paris
48,76,University of Wisconsin--Madison,37,United States,"Madison, WI"
49,75.7,University of Amsterdam,40,Netherlands,Amsterdam
50,75.6,University of California--Santa Barbara,41,United States,"Santa Barbara, CA"
51,75.5,University of Queensland Australia,42,Australia,"Brisbane, Queensland"
52,75.4,Nanyang Technological University,43,Singapore,
53,75.4,University of Munich,43,Germany,Munich
54,75.3,École Polytechnique Federale of Lausanne,45,Switzerland,Lausanne
55,75.3,Ohio State University--Columbus,45,United States,"Columbus, OH"
56,75.1,University of Minnesota--Twin Cities,47,United States,"Minneapolis, MN"
57,75.1,University of Pittsburgh,47,United States,"Pittsburgh, PA"
58,74.7,McGill University,49,Canada,"Montréal, Québec"
59,74.4,University of Colorado--Boulder,50,United States,"Boulder, CO"
60,74.3,Boston University,51,United States,"Boston, MA"
61,74.3,Karolinska Institute,51,Sweden,Stockholm
62,74.3,King Abdulaziz University,51,Saudi Arabia,Jeddah
63,74.3,University of Maryland--College Park,51,United States,"College Park, MD"
64,74.2,Utrecht University,55,Netherlands,Utrecht
65,74.1,Catholic University of Leuven,56,Belgium,Leuven
66,74.1,Heidelberg University,56,Germany,Heidelberg
67,73.9,University of Zurich,58,Switzerland,Zürich
68,73.8,Monash University,59,Australia,"Clayton, Victoria"
69,73.8,Peking University,59,China,Beijing
70,73.8,University of Illinois--Urbana-Champaign,59,United States,"Champaign, IL"
71,73.6,Georgia Institute of Technology,62,United States,"Atlanta, GA"
72,73.6,Rockefeller University,62,United States,"New York, NY"
73,73.5,University of California--Davis,64,United States,"Davis, CA"
74,73.5,University of Manchester,64,United Kingdom,Manchester
75,73.5,University of New South Wales,64,Australia,"Kensington, New South Wales"
76,73.3,Icahn School of Medicine at Mount Sinai,67,United States,"New York, NY"
77,73.3,Universite Sorbonne Paris Cite-USPC (ComUE),67,France,Paris
78,73.2,Australian National University,69,Australia,"Canberra, Australian Capital Territory"
79,73.2,University of Southern California,69,United States,"Los Angeles, CA"
80,72.7,Emory University,71,United States,"Atlanta, GA"
81,72.6,Pennsylvania State University--University Park,72,United States,"University Park, PA"
82,72.6,Vanderbilt University,72,United States,"Nashville, TN"
83,72.5,Erasmus University Rotterdam,74,Netherlands,Rotterdam
84,72.5,University of Tokyo,74,Japan,"Bunkyo-ku, Tokyo"
85,71.9,University of California--Santa Cruz,76,United States,"Santa Cruz, CA"
86,71.7,Technical University of Munich,77,Germany,Munich
87,71.5,University of California--Irvine,78,United States,"Irvine, CA"
88,71.3,Wageningen University and Research Center,79,Netherlands,Wageningen
89,71.2,University of Adelaide,80,Australia,"Adelaide, South Australia"
90,71,University of Bristol,81,United Kingdom,Bristol
91,70.8,Carnegie Mellon University,82,United States,"Pittsburgh, PA"
92,70.8,PSL Research University Paris (ComUE),82,France,Paris
93,70.8,VU University Amsterdam,82,Netherlands,Amsterdam
94,70.6,University of Arizona,85,United States,"Tucson, AZ"
95,70.5,University of Western Australia,86,Australia,"Crawley, Western Australia"
96,70.4,Ghent University,87,Belgium,Gent
97,70.4,University of Helsinki,87,Finland,Helsinki
98,70.2,Leiden University,89,Netherlands,Leiden
99,70.2,University of Glasgow,89,United Kingdom,"Glasgow, Scotland"
100,70.1,Humboldt-Universität zu Berlin,91,Germany,Berlin
101,70.1,Lund University,91,Sweden,Lund
102,70.1,University of Oslo,91,Norway,Oslo
103,70,University of Geneva,94,Switzerland,Geneva
104,70,University of Southampton,94,United Kingdom,Southampton
105,69.8,University of Birmingham,96,United Kingdom,Birmingham
106,69.8,University of Groningen,96,Netherlands,Groningen
107,69.7,University of Barcelona,98,Spain,Barcelona
108,69.6,Weizmann Institute of Science,99,Israel,Rehovot
109,69.5,University of Hong Kong,10,Hong Kong,"Pok Fu Lam, Hong Kong"
110,69.4,Michigan State University,10,United States,"East Lansing, MI"
111,69,Brown University,10,United States,"Providence, RI"
112,69,Uppsala University,10,Sweden,Uppsala
113,68.9,Radboud University Nijmegen,10,Netherlands,Nijmegen
114,68.7,"Rutgers, The State University of New Jersey--New Brunswick",10,United States,"Piscataway Township, NJ"
115,68.7,University of Florida,10,United States,"Gainesville, FL"
116,68.4,University of Virginia,10,United States,"Charlottesville, VA"
117,68.3,Aarhus University,10,Denmark,Aarhus C
118,68.3,London School of Hygiene & Tropical Medicine,10,United Kingdom,London
119,68.3,Rice University,10,United States,"Houston, TX"
120,68.3,University of Bonn,10,Germany,Bonn
121,68.2,University of Bern,11,Switzerland,Bern
122,67.9,Chinese University Hong Kong,11,Hong Kong,"Shatin, New Territories"
123,67.8,Purdue University--West Lafayette,11,United States,"West Lafayette, IN"
124,67.8,Stockholm University,11,Sweden,Stockholm
125,67.7,University of Bologna,11,Italy,Bologna
126,67.7,University of Padua,11,Italy,Padua
127,67.6,Université Paris-Sud,11,France,Orsay
128,67.5,"Queen Mary, University of London",11,United Kingdom,London
129,67.5,Sapienza University of Rome,11,Italy,Rome
130,67.3,University of Cape Town,12,South Africa,Cape Town
131,67.2,Freie Universität Berlin,12,Germany,Berlin
132,67.2,Hong Kong University of Science and Technology,12,Hong Kong,
133,66.8,Kyoto University,12,Japan,"Sakyo-ku, Kyoto, Kyoto"
134,66.7,University of Rochester,12,United States,"Rochester, NY"
135,66.6,McMaster University,12,Canada,"Hamilton, Ontario"
136,66.5,University of Warwick,12,United Kingdom,Coventry
137,66.4,Seoul National University,12,South Korea,Seoul
138,66.4,Universidade de São Paulo,12,Brazil,São Paulo
139,66.4,University of Basel,12,Switzerland,Basel
140,66.4,University of Science and Technology of China,12,China,"Hefei, Anhui"
141,66.3,Baylor College of Medicine,13,United States,"Houston, TX"
142,66.3,University of Sheffield,13,United Kingdom,Sheffield
143,66.2,Texas A&M University--College Station,13,United States,"College Station, TX"
144,66.2,University of Auckland,13,New Zealand,Auckland
145,66.1,Indiana University--Bloomington,13,United States,"Bloomington, IN"
146,66.1,Shanghai Jiao Tong University,13,China,Shanghai
147,66.1,University of Massachusetts--Amherst,13,United States,"Amherst, MA"
148,66,Universite de Lyon (ComUE),13,France,Lyon
149,66,University Catholique of Louvain,13,Belgium,Louvain-la-Neuve
150,66,University of Alberta,13,Canada,"Edmonton, Alberta"
151,66,University of Montreal,13,Canada,"Montréal, Québec"
152,66,University of Utah,13,United States,"Salt Lake City, UT"
153,65.9,Communaute Universite Grenoble Alpes,14,France,Saint-Martin-d'Heres
154,65.8,University of Hamburg,14,Germany,Hamburg
155,65.7,Arizona State University--Tempe,14,United States,"Tempe, AZ"
156,65.7,University of Texas Southwestern Medical Center--Dallas,14,United States,"Dallas, TX"
157,65.6,Technical University of Denmark,14,Denmark,Kongens Lyngby
158,65.3,University of California--Riverside,14,United States,"Riverside, CA"
159,65.3,University of Liverpool,14,United Kingdom,Liverpool
160,65.2,University of Gothenburg,15,Sweden,Gothenburg
161,65.1,King Abdullah University of Science & Technology,15,Saudi Arabia,Thuwal
162,65.1,Oregon Health & Science University,15,United States,"Portland, OR"
163,65.1,University of Nottingham,15,United Kingdom,Nottingham
164,65,Case Western Reserve University,15,United States,"Cleveland, OH"
165,65,University of Milan,15,Italy,Milan
166,64.9,Zhejiang University,15,China,"Hangzhou, Zhejiang"
167,64.8,University of Freiburg,15,Germany,Freiburg
168,64.8,University of Leeds,15,United Kingdom,Leeds
169,64.7,University of Göttingen,16,Germany,Göttingen
170,64.6,Autonomous University of Barcelona,16,Spain,Barcelona
171,64.6,University of Exeter,16,United Kingdom,"Exeter, Devon"
172,64.6,University of Iowa,16,United States,"Iowa City, IA"
173,64.3,International School for Advanced Studies,16,Italy,Trieste
174,64.3,University of Aix-Marseille,16,France,Marseille
175,64.3,University of Bergen,16,Norway,Bergen
176,64.3,University of Sussex,16,United Kingdom,Brighton
177,64.1,Cardiff University,16,United Kingdom,"Cardiff, Wales"
178,64.1,"Eberhard Karls University, Tübingen",16,Germany,Tübingen
179,64.1,Nanjing University,16,China,"Nanjing, Jiangsu"
180,64,Fudan University,17,China,Shanghai
181,64,Stony Brook University--SUNY,17,United States,"Stony Brook, NY"
182,63.8,City University Hong Kong,17,Hong Kong,"Kowloon, Hong Kong"
183,63.8,Delft University of Technology,17,Netherlands,Delft
184,63.7,Pompeu Fabra University,17,Spain,Barcelona
185,63.7,Universite Federale Toulouse Midi-Pyrenees (ComUE),17,France,Toulouse
186,63.7,University of Alabama--Birmingham,17,United States,"Birmingham, AL"
187,63.6,University of Calgary,17,Canada,"Calgary, Alberta"
188,63.2,RWTH Aachen University,17,Germany,Aachen
189,63,Newcastle University,18,United Kingdom,"Newcastle upon Tyne, Tyne and Wear"
190,62.9,Karlsruhe Institute of Technology,18,Germany,Karlsruhe
191,62.7,Technical University of Dresden,18,Germany,Dresden
192,62.6,Autonomous University of Madrid,18,Spain,Madrid
193,62.6,Tel Aviv University,18,Israel,Tel Aviv
194,62.6,University of Lausanne,18,Switzerland,Lausanne
195,62.4,Aalto University,18,Finland,Esbo
196,62.4,Boğaziçi University,18,Turkey,Istanbul
197,62.4,National Taiwan University,18,Taiwan,Taipei
198,62.4,University of Pisa,18,Italy,Pisa
199,62.3,Curtin University of Technology,19,Australia,"Bentley, Western Australia"
200,62.3,Florida State University,19,United States,"Tallahassee, FL"
201,62.3,Languedoc-Roussillon Universites (ComUE),19,France,Montpellier
202,62.3,Tufts University,19,United States,"Medford, MA"
203,62.3,Université Libre de Bruxelles,19,Belgium,Brussels
204,62.2,Sungkyunkwan University,19,South Korea,Seoul
205,62.1,Maastricht University,19,Netherlands,Maastricht
206,62.1,University of Cincinnati,19,United States,"Cincinnati, OH"
207,61.9,University of Ottawa,19,Canada,"Ottawa, Ontario"
208,61.9,University of Technology Sydney,19,Australia,"Ultimo, New South Wales"
209,61.8,Hong Kong Polytechnic University,20,Hong Kong,"Kowloon, Hong Kong"
210,61.8,Northeastern University,20,United States,"Boston, MA"
211,61.8,University of Vienna,20,Austria,Vienna
212,61.8,University of Witwatersrand,20,South Africa,Johannesburg
213,61.7,Scuola Normale Superiore di Pisa,20,Italy,Pisa
214,61.7,University of Naples Federico II,20,Italy,Naples
215,61.7,University of Würzburg,20,Germany,Würzburg
216,61.6,Royal Institute of Technology,20,Sweden,Stockholm
217,61.5,Johannes Gutenberg University of Mainz,20,Germany,Mainz
218,61.5,Sun Yat-sen University,20,China,"Guangzhou, Guangdong"
219,61.4,Charles University in Prague,21,Czech Republic,Prague 1
220,61.4,Durham University,21,United Kingdom,"Durham, Durham"
221,61.4,Lancaster University,21,United Kingdom,Lancaster
222,61.3,Johann Wolfgang Goethe University Frankfurt am Main,21,Germany,Frankfurt am Main
223,61.2,Dartmouth College,21,United States,"Hanover, NH"
224,61.2,University of Antwerp,21,Belgium,Antwerp
225,61.2,University of Lisbon,21,Portugal,Lisbon
226,61.1,University of Illinois--Chicago,21,United States,"Chicago, IL"
227,61.1,University of Tennessee,21,United States,"Knoxville, TN"
228,61.1,University of Waterloo,21,Canada,"Waterloo, Ontario"
229,61,Iowa State University,22,United States,"Ames, IA"
230,61,University of Oregon,22,United States,"Eugene, OR"
231,60.9,Hebrew University of Jerusalem,22,Israel,Jerusalem
232,60.8,University of Notre Dame,22,United States,"Notre Dame, IN"
233,60.7,Queensland University of Technology,22,Australia,"Brisbane, Queensland"
234,60.7,University of Rome Tor Vergata,22,Italy,Rome
235,60.6,University of Strasbourg,22,France,Strasbourg
236,60.5,Macquarie University,22,Australia,"North Ryde, New South Wales"
237,60.5,University College Dublin,22,Ireland,Dublin 4
238,60.5,University of Aberdeen,22,United Kingdom,"Aberdeen, Scotland"
239,60.5,University of Florence,22,Italy,Florence
240,60.5,University of Turin,22,Italy,Turin
241,60.4,Medical University of Vienna,23,Austria,Vienna
242,60.4,North Carolina State University--Raleigh,23,United States,"Raleigh, NC"
243,60.4,University of Malaya,23,Malaysia,"Kuala Lumpur, Kuala Lumpur"
244,60.3,University of Leicester,23,United Kingdom,Leicester
245,60.3,University of Miami,23,United States,"Coral Gables, FL"
246,60.2,University of Otago,23,New Zealand,Dunedin
247,60.2,University of Trento,23,Italy,Trento
248,60.2,University of Valencia,23,Spain,Valencia
249,59.9,Trinity College Dublin,24,Ireland,Dublin 2
250,59.9,University of Erlangen Nuremberg,24,Germany,Erlangen
251,59.8,Griffith University,24,Australia,"Nathan, Queensland"
252,59.8,Osaka University,24,Japan,"Suita, Osaka"
253,59.7,Aalborg University,24,Denmark,Aalborg
254,59.6,Huazhong University of Science and Technology,24,China,"Wuhan, Hubei"
255,59.6,University of Cologne,24,Germany,Köln
256,59.5,Deakin University,24,Australia,"Burwood, Victoria"
257,59.5,University of Wollongong,24,Australia,"Wollongong, New South Wales"
258,59.4,Harbin Institute of Technology,24,China,"Harbin, Heilongjiang"
259,59.3,Brandeis University,25,United States,"Waltham, MA"
260,59.3,University of Pavia,25,Italy,Pavia
261,59.2,Korea Advanced Institute of Science and Technology,25,South Korea,Daejeon
262,59.1,University of New Mexico,25,United States,"Albuquerque, NM"
263,59.1,Virginia Tech,25,United States,"Blacksburg, VA"
264,59,George Washington University,25,United States,"Washington, DC"
265,59,Tohoku University,25,Japan,"Aoba-ku, Sendai, Miyagi"
266,58.9,University of Maryland--Baltimore,25,United States,"Baltimore, MD"
267,58.8,Technion Israel Institute of Technology,25,Israel,Haifa
268,58.6,Free University of Brussels,25,Belgium,Elsene
269,58.6,London School of Economics and Political Science,25,United Kingdom,London
270,58.6,University of York,25,United Kingdom,York
271,58.5,National and Kapodistrian University of Athens,26,Greece,Athens
272,58.5,University of Kiel,26,Germany,Kiel
273,58.5,University of Victoria,26,Canada,"Victoria, British Columbia"
274,58.5,Yeshiva University,26,United States,"New York, NY"
275,58.4,Colorado State University,26,United States,"Fort Collins, CO"
276,58.4,M. V. Lomonosov Moscow State University,26,Russia,Moscow
277,58.4,Oregon State University,26,United States,"Corvallis, OR"
278,58.4,University at Buffalo--SUNY,26,United States,"Buffalo, NY"
279,58.4,University of St. Andrews,26,United Kingdom,"Fife, Scotland"
280,58.3,James Cook University,27,Australia,"Townsville City, Queensland"
281,58.3,Korea University,27,South Korea,Seoul
282,58.1,University of Texas--Dallas,27,United States,"Richardson, TX"
283,58,Universite Paris Saclay,27,France,Saint-Aubin
284,58,University of Newcastle,27,Australia,"Callaghan, New South Wales"
285,57.9,University of Milan - Bicocca,27,Italy,Milan
286,57.9,University of Münster,27,Germany,Münster
287,57.9,Western University,27,Canada,"London, Ontario"
288,57.8,Tongji University,27,China,Shanghai
289,57.8,University of Kansas,27,United States,"Lawrence, KS"
290,57.8,University of Western Sydney,27,Australia,"Penrith, NSW"
291,57.7,University of Trieste,28,Italy,Trieste
292,57.6,Communaute d'Universites et Etablissements d'Aquitaine (ComUE),28,France,Bordeaux
293,57.6,Norwegian University of Science and Technology,28,Norway,Trondheim
294,57.5,Wuhan University,28,China,"Wuhan, Hubei"
295,57.4,University of Genoa,28,Italy,Genoa
296,57.4,University of Warsaw,28,Poland,Warsaw
297,57.3,Universite Lille-Nord-de-France (ComUE),28,France,Villeneuve-d'Ascq
298,57.3,University of Porto,28,Portugal,Porto
299,57.2,Nagoya University,29,Japan,"Chikusa-ku, Nagoya, Aichi"
300,57.2,Pontificia University Católica de Chile,29,Chile,Santiago
301,57.2,Simon Fraser University,29,Canada,"Burnaby, British Columbia"
302,57.2,University of East Anglia,29,United Kingdom,Norwich
303,57.2,University of Georgia,29,United States,"Athens, GA"
304,57.2,University of Nebraska--Lincoln,29,United States,"Lincoln, NE"
305,57.2,University of Perugia,29,Italy,Perugia
306,57.2,Washington State University,29,United States,"Pullman, WA"
307,57,Georgetown University,29,United States,"Washington, DC"
308,57,University at Albany--SUNY,29,United States,"Albany, NY"
309,57,University of Duisburg-Essen,29,Germany,Essen
310,56.9,École Polytechnique,30,France,Palaiseau
311,56.9,University of Dundee,30,United Kingdom,"Dundee, Scotland"
312,56.8,Polytechnic University of Milan,30,Italy,Milan
313,56.8,University of Southern Denmark,30,Denmark,Odense M
314,56.7,State University of Campinas,30,Brazil,"Campinas, São Paulo"
315,56.7,Tokyo Institute of Technology,30,Japan,"Meguro-ku, Tokyo"
316,56.7,University of South Carolina–Columbia,30,United States,"Columbia, SC"
317,56.6,University of Ulm,30,Germany,Ulm
318,56.5,Umeå University,30,Sweden,Umeå
319,56.4,Wayne State University,30,United States,"Detroit, MI"
320,56.3,University of South Florida,31,United States,"Tampa, FL"
321,56.2,Southeast University,31,China,"Nanjing, Jiangsu"
322,56.2,University of Delaware,31,United States,"Newark, DE"
323,56.2,University of Granada,31,Spain,"Granada, Granada"
324,56.2,University of Reading,31,United Kingdom,"Reading, Berkshire"
325,56.1,Indiana University-Purdue University--Indianapolis,31,United States,"Indianapolis, IN"
326,56.1,Laval University,31,Canada,"Québec City, Québec"
327,56.1,RMIT University,31,Australia,"Melbourne, VIC"
328,56,University of Canterbury,31,New Zealand,Christchurch
329,55.9,Temple University,31,United States,"Philadelphia, PA"
